"Index Name","Date","Open","High","Low","Close"
"NIFTY500 VALUE 50","21 Jun 2024","-","-","-","14683.59"
"NIFTY500 VALUE 50","20 Jun 2024","-","-","-","14757.22"
"NIFTY500 VALUE 50","19 Jun 2024","-","-","-","14592.59"
"NIFTY500 VALUE 50","18 Jun 2024","-","-","-","14738.39"
"NIFTY500 VALUE 50","14 Jun 2024","-","-","-","14695.67"
"NIFTY500 VALUE 50","13 Jun 2024","-","-","-","14615.16"
"NIFTY500 VALUE 50","12 Jun 2024","-","-","-","14571.50"
"NIFTY500 VALUE 50","11 Jun 2024","-","-","-","14421.32"
"NIFTY500 VALUE 50","10 Jun 2024","-","-","-","14323.22"
"NIFTY500 VALUE 50","07 Jun 2024","-","-","-","14248.36"
"NIFTY500 VALUE 50","06 Jun 2024","-","-","-","13969.61"
"NIFTY500 VALUE 50","05 Jun 2024","-","-","-","13653.25"
"NIFTY500 VALUE 50","04 Jun 2024","-","-","-","13126.24"
"NIFTY500 VALUE 50","03 Jun 2024","-","-","-","15017.72"
"NIFTY500 VALUE 50","31 May 2024","-","-","-","14192.83"
"NIFTY500 VALUE 50","30 May 2024","-","-","-","14089.55"
"NIFTY500 VALUE 50","29 May 2024","-","-","-","14360.72"
"NIFTY500 VALUE 50","28 May 2024","-","-","-","14366.74"
"NIFTY500 VALUE 50","27 May 2024","-","-","-","14493.29"
"NIFTY500 VALUE 50","24 May 2024","-","-","-","14479.90"
"NIFTY500 VALUE 50","23 May 2024","-","-","-","14445.29"
"NIFTY500 VALUE 50","22 May 2024","-","-","-","14451.94"
"NIFTY500 VALUE 50","21 May 2024","-","-","-","14516.11"
"NIFTY500 VALUE 50","18 May 2024","-","-","-","14237.99"
"NIFTY500 VALUE 50","17 May 2024","-","-","-","14142.35"
"NIFTY500 VALUE 50","16 May 2024","-","-","-","13997.64"
"NIFTY500 VALUE 50","15 May 2024","-","-","-","13984.29"
"NIFTY500 VALUE 50","14 May 2024","-","-","-","13823.53"
"NIFTY500 VALUE 50","13 May 2024","-","-","-","13609.72"
"NIFTY500 VALUE 50","10 May 2024","-","-","-","13611.86"
"NIFTY500 VALUE 50","09 May 2024","-","-","-","13400.79"
"NIFTY500 VALUE 50","08 May 2024","-","-","-","13809.80"
"NIFTY500 VALUE 50","07 May 2024","-","-","-","13605.62"
"NIFTY500 VALUE 50","06 May 2024","-","-","-","13950.51"
"NIFTY500 VALUE 50","03 May 2024","-","-","-","14271.49"
"NIFTY500 VALUE 50","02 May 2024","-","-","-","14241.34"
"NIFTY500 VALUE 50","30 Apr 2024","-","-","-","14047.15"
"NIFTY500 VALUE 50","29 Apr 2024","-","-","-","14022.18"
"NIFTY500 VALUE 50","26 Apr 2024","-","-","-","13901.68"
"NIFTY500 VALUE 50","25 Apr 2024","-","-","-","13828.25"
"NIFTY500 VALUE 50","24 Apr 2024","-","-","-","13640.35"
"NIFTY500 VALUE 50","23 Apr 2024","-","-","-","13446.32"
"NIFTY500 VALUE 50","22 Apr 2024","-","-","-","13438.66"
"NIFTY500 VALUE 50","19 Apr 2024","-","-","-","13322.75"
"NIFTY500 VALUE 50","18 Apr 2024","-","-","-","13325.48"
"NIFTY500 VALUE 50","16 Apr 2024","-","-","-","13400.99"
"NIFTY500 VALUE 50","15 Apr 2024","-","-","-","13373.20"
"NIFTY500 VALUE 50","12 Apr 2024","-","-","-","13474.50"
"NIFTY500 VALUE 50","10 Apr 2024","-","-","-","13606.31"
"NIFTY500 VALUE 50","09 Apr 2024","-","-","-","13373.65"
"NIFTY500 VALUE 50","08 Apr 2024","-","-","-","13343.20"
"NIFTY500 VALUE 50","05 Apr 2024","-","-","-","13282.43"
"NIFTY500 VALUE 50","04 Apr 2024","-","-","-","13240.96"
"NIFTY500 VALUE 50","03 Apr 2024","-","-","-","13281.86"
"NIFTY500 VALUE 50","02 Apr 2024","-","-","-","13166.79"
"NIFTY500 VALUE 50","01 Apr 2024","-","-","-","12951.66"
"NIFTY500 VALUE 50","28 Mar 2024","-","-","-","12693.20"
"NIFTY500 VALUE 50","27 Mar 2024","-","-","-","12530.12"
"NIFTY500 VALUE 50","26 Mar 2024","-","-","-","12598.71"
"NIFTY500 VALUE 50","22 Mar 2024","-","-","-","12530.73"
"NIFTY500 VALUE 50","21 Mar 2024","-","-","-","12454.91"
"NIFTY500 VALUE 50","20 Mar 2024","-","-","-","12134.90"
